epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.468,2.28162,4.10068,2.53107,0.00268,0.76667,0.02721,0.00894,4.0078,5.43688,5.96299,0.000233966,0.000233966,0.000233966
2,238.706,1.69125,3.7482,2.04991,0.12518,0.7875,0.06346,0.03828,4.09912,5.13195,5.47369,0.000456391,0.000456391,0.000456391
3,360.443,1.63907,3.52747,2.02187,0.32853,0.16667,0.1068,0.0384,4.20547,10.6308,6.84732,0.000663108,0.000663108,0.000663108
4,482.078,1.62275,3.43317,2.00018,0.26306,0.37917,0.07537,0.03738,4.3518,5.98093,6.5956,0.000643314,0.000643314,0.000643314
5,600.245,1.6037,3.34631,1.98405,0.2576,0.275,0.10015,0.04605,4.24045,6.31302,6.57256,0.000619752,0.000619752,0.000619752
6,717.228,1.54945,3.25233,1.94743,0.25332,0.16667,0.07832,0.03854,4.32756,5.01909,6.74292,0.00059619,0.00059619,0.00059619
7,833.502,1.55974,3.26998,1.94982,0.02055,0.975,0.14662,0.07337,4.22167,4.48251,6.63915,0.000572628,0.000572628,0.000572628
8,950.127,1.53966,3.1639,1.92103,0.54174,0.18333,0.15426,0.08238,4.23014,4.56581,6.76398,0.000549066,0.000549066,0.000549066
9,1066.54,1.47993,3.12997,1.88989,0.57851,0.23333,0.20777,0.11372,4.25388,3.95628,6.64333,0.000525504,0.000525504,0.000525504
10,1183.2,1.48454,3.07265,1.86808,0.4527,0.30015,0.11089,0.05475,4.45862,4.17857,6.98077,0.000501942,0.000501942,0.000501942
11,1299.46,1.455,3.0215,1.85346,0.57415,0.21667,0.19067,0.09762,4.22935,3.94864,6.42329,0.00047838,0.00047838,0.00047838
12,1416.71,1.47192,3.00538,1.86758,0.73914,0.21667,0.1691,0.10393,4.20272,4.30404,6.68109,0.000454818,0.000454818,0.000454818
13,1532.93,1.45241,2.96656,1.83899,0.51992,0.24167,0.20591,0.13154,4.23673,3.98448,6.49708,0.000431256,0.000431256,0.000431256
14,1648.76,1.4392,2.93909,1.82934,0.42303,0.23333,0.20594,0.12474,4.23054,3.75711,7.02849,0.000407694,0.000407694,0.000407694
15,1766.15,1.40565,2.92429,1.81353,0.40507,0.27179,0.30431,0.17971,4.23316,3.71267,6.51865,0.000384132,0.000384132,0.000384132
16,1883.78,1.40562,2.87744,1.79924,0.18234,0.275,0.19065,0.12547,4.25222,4.08267,6.63506,0.00036057,0.00036057,0.00036057
17,2003.29,1.43288,2.89398,1.8211,0.39326,0.27916,0.25937,0.17112,4.36113,3.57299,7.01825,0.000337008,0.000337008,0.000337008
18,2120.12,1.3742,2.82974,1.78699,0.33442,0.36667,0.27428,0.17408,4.22333,3.67613,6.72458,0.000313446,0.000313446,0.000313446
19,2235.97,1.35739,2.78415,1.75751,0.40776,0.44444,0.27573,0.18218,4.14357,3.38792,6.91899,0.000289884,0.000289884,0.000289884
20,2349.76,1.36689,2.76205,1.76236,0.23701,0.40505,0.19819,0.13614,4.22815,3.76938,6.57403,0.000266322,0.000266322,0.000266322
21,2462.59,1.12994,2.66614,1.63962,0.31913,0.59167,0.2561,0.16866,4.18258,3.50857,7.18674,0.00024276,0.00024276,0.00024276
22,2578.36,1.07003,2.50543,1.59024,0.17879,0.41661,0.28904,0.21833,4.22348,3.31433,7.66612,0.000219198,0.000219198,0.000219198
23,2695.71,1.05368,2.4202,1.58107,0.2331,0.53399,0.33196,0.21639,4.16459,3.24934,7.44917,0.000195636,0.000195636,0.000195636
24,2812.25,1.01054,2.34954,1.54025,0.16818,0.4625,0.24573,0.16943,4.18553,3.32316,7.22362,0.000172074,0.000172074,0.000172074
25,2928.55,1.01188,2.32455,1.53408,0.30878,0.4721,0.27757,0.18476,4.19448,3.30158,7.37795,0.000148512,0.000148512,0.000148512
26,3044.96,0.97648,2.25047,1.49256,0.1699,0.64167,0.36316,0.2174,4.21478,3.33917,7.61112,0.00012495,0.00012495,0.00012495
27,3161.14,0.95782,2.18275,1.48361,0.1955,0.35973,0.35864,0.27483,4.22917,3.27212,7.34923,0.000101388,0.000101388,0.000101388
28,3278.47,0.96257,2.175,1.48639,0.19214,0.5625,0.40224,0.24712,4.17849,3.18351,7.5215,7.7826e-05,7.7826e-05,7.7826e-05
29,3394.88,0.90206,2.18393,1.46416,0.20622,0.52487,0.37007,0.22731,4.16516,3.22037,7.59273,5.4264e-05,5.4264e-05,5.4264e-05
30,3511.67,0.90982,2.13584,1.46312,0.25024,0.47083,0.33128,0.226,4.16104,3.21146,7.63291,3.0702e-05,3.0702e-05,3.0702e-05
