epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,882.015,1.95024,3.87231,2.21976,0.72367,0.22116,0.18812,0.09295,3.98358,4.48543,5.84408,0.000236583,0.000236583,0.000236583
2,1750.35,1.64925,2.75172,1.95991,0.85067,0.11197,0.13791,0.05237,4.23106,4.94295,6.96001,0.000458922,0.000458922,0.000458922
3,2617.6,1.61469,2.67088,1.91319,0.70639,0.18356,0.09343,0.0477,4.1614,4.22125,6.91246,0.000665553,0.000665553,0.000665553
4,3485.14,1.58494,2.61572,1.90733,0.58886,0.26307,0.24102,0.1438,3.94579,3.33142,6.38578,0.000643314,0.000643314,0.000643314
5,4352.21,1.52763,2.50418,1.85704,0.61032,0.32044,0.24447,0.1272,4.25751,3.07293,6.67929,0.000619752,0.000619752,0.000619752
6,5218.97,1.52624,2.46614,1.86044,0.78595,0.26457,0.23807,0.13632,4.12933,3.02885,6.28965,0.00059619,0.00059619,0.00059619
7,6085.87,1.47884,2.41247,1.81268,0.62851,0.28557,0.27085,0.18003,4.01653,2.76642,6.29943,0.000572628,0.000572628,0.000572628
8,6952.28,1.42531,2.33864,1.78714,0.68339,0.3244,0.25566,0.17037,4.05758,2.88836,6.25376,0.000549066,0.000549066,0.000549066
9,7819.26,1.43292,2.3235,1.78452,0.67873,0.31577,0.35164,0.22796,3.99277,2.8218,6.41024,0.000525504,0.000525504,0.000525504
10,8686.94,1.39965,2.24827,1.75944,0.44252,0.45534,0.35186,0.20944,4.0646,2.56683,6.50328,0.000501942,0.000501942,0.000501942
11,9554.1,1.3887,2.20787,1.74282,0.45652,0.4674,0.35712,0.25357,3.90062,2.65074,6.58956,0.00047838,0.00047838,0.00047838
12,10420.5,1.34661,2.19813,1.73002,0.53991,0.48861,0.4162,0.27794,3.8921,2.37902,6.51687,0.000454818,0.000454818,0.000454818
13,11287.1,1.34443,2.16753,1.71587,0.45912,0.50074,0.31701,0.21626,3.91547,2.48592,6.71483,0.000431256,0.000431256,0.000431256
14,12153.9,1.32828,2.09219,1.70379,0.39183,0.55345,0.42248,0.29126,3.87463,2.40462,6.55674,0.000407694,0.000407694,0.000407694
15,13020.1,1.30892,2.09497,1.68403,0.61211,0.47165,0.49444,0.35772,3.88068,2.32891,6.62587,0.000384132,0.000384132,0.000384132
16,13887.2,1.29273,2.04086,1.67514,0.60344,0.54168,0.52945,0.37377,3.92676,2.18294,6.81354,0.00036057,0.00036057,0.00036057
17,14753.5,1.26841,2.01931,1.65146,0.41046,0.62239,0.41243,0.29044,3.89552,2.37004,6.62963,0.000337008,0.000337008,0.000337008
18,15620.7,1.26067,1.9578,1.64332,0.54619,0.45593,0.35454,0.25114,3.92843,2.45792,6.72902,0.000313446,0.000313446,0.000313446
19,16486.9,1.24406,1.96414,1.63778,0.4534,0.63873,0.47747,0.34967,3.85415,2.28656,6.84152,0.000289884,0.000289884,0.000289884
20,17351.9,1.23572,1.92656,1.6255,0.35335,0.62838,0.44508,0.33987,3.92297,2.33805,7.00843,0.000266322,0.000266322,0.000266322
21,18212.4,0.99162,1.5986,1.49328,0.55087,0.59981,0.48978,0.37768,3.8267,1.99078,7.02261,0.00024276,0.00024276,0.00024276
22,19072.4,0.92125,1.40677,1.44056,0.50886,0.59922,0.48725,0.36031,3.83045,2.02605,7.20101,0.000219198,0.000219198,0.000219198
23,19933.9,0.89614,1.36945,1.42851,0.38215,0.70305,0.46962,0.35988,3.82266,2.08338,7.25527,0.000195636,0.000195636,0.000195636
24,20794.7,0.89208,1.34406,1.4181,0.50817,0.67336,0.48164,0.36956,3.83229,2.10044,7.38735,0.000172074,0.000172074,0.000172074
25,21656.2,0.8603,1.31137,1.39852,0.53121,0.62138,0.49893,0.38531,3.77822,1.97403,7.51207,0.000148512,0.000148512,0.000148512
26,22535.2,0.82546,1.26948,1.37009,0.40487,0.77622,0.55992,0.42916,3.7777,1.91064,7.53071,0.00012495,0.00012495,0.00012495
27,23397.3,0.82321,1.2146,1.3657,0.39406,0.7892,0.57973,0.45062,3.78272,1.98908,7.44609,0.000101388,0.000101388,0.000101388
28,24259.3,0.79885,1.19052,1.34777,0.42015,0.74972,0.55632,0.42303,3.78075,1.95637,7.61033,7.7826e-05,7.7826e-05,7.7826e-05
29,25121.2,0.78449,1.18105,1.33599,0.37798,0.74634,0.48634,0.37383,3.81133,2.05491,7.5955,5.4264e-05,5.4264e-05,5.4264e-05
30,25982.6,0.77744,1.15759,1.33454,0.41714,0.72886,0.52261,0.40609,3.80001,2.03553,7.77402,3.0702e-05,3.0702e-05,3.0702e-05
